iter	Passed	Remaining
1254	248235	283245
1255	248385	282993
1256	248545	282753
1257	248684	282487
1258	248866	282272
1259	249085	282099
1260	249311	281933
1261	249572	281807
1262	249766	281605
1263	249957	281399
1264	250116	281158
1265	250309	280955
1266	250478	280726
1267	250630	280476
1268	250831	280282
1269	251003	280056
1270	251169	279823
1271	251352	279609
1272	251531	279391
1273	251731	279196
1274	251920	278989
1275	252083	278754
1276	252275	278550
1277	252460	278338
1278	252635	278116
1279	252779	277860
1280	252950	277633
1281	253148	277436
1282	253306	277196
1283	253485	276977
1284	253659	276755
1285	253799	276495
1286	253990	276290
1287	254152	276055
1288	254326	275833
1289	254486	275595
1290	254645	275356
1291	254815	275129
1292	255016	274936
1293	255196	274720
1294	255377	274506
1295	255516	274246
1296	255702	274037
1297	255873	273812
1298	256044	273587
1299	256230	273378
1300	256375	273125
1301	256535	272889
1302	256708	272666
1303	256914	272479
1304	257045	272212
1305	257215	271986
1306	257398	271774
1307	257578	271560
1308	257756	271343
1309	257994	271189
1310	258200	271001
1311	258338	270743
1312	258539	270550
1313	258726	270343
1314	258917	270140
1315	259091	269919
1316	259254	269687
1317	259436	269475
1318	259695	269342
1319	259916	269171
1320	260155	269017
1321	260338	268806
1322	260508	268581
1323	260704	268383
1324	260875	268160
1325	261039	267930
1326	261210	267706
1327	261353	267454
1328	261507	267213
1329	261680	266992
1330	261823	266741
1331	261985	266509
1332	262187	266318
1333	262422	266159
1334	262691	266036
1335	262962	265914
1336	263183	265742
1337	263428	265594
1338	263658	265430
1339	263896	265274
1340	264058	265043
1341	264212	264802
1342	264363	264560
1343	264428	264231
1344	264587	263997
1345	264735	263751
1346	265028	263650
1347	265426	263654
1348	265636	263470
1349	265818	263259
1350	266077	263122
1351	266305	262956
1352	266443	262702
1353	266648	262512
1354	266828	262299
1355	266984	262062
1356	267191	261875
1357	267414	261703
1358	267596	261492
1359	267807	261308
1360	268022	261130
1361	268232	260946
1362	268418	260737
1363	268554	260482
1364	268724	260259
1365	268884	260026
1366	269126	259873
1367	269314	259667
1368	269469	259431
1369	269609	259179
1370	269769	258947
1371	269916	258702
1372	270091	258485
1373	270222	258225
1374	270427	258037
1375	270734	257945
1376	270896	257715
1377	271062	257489
1378	271230	257265
1379	271403	257046
1380	271578	256829
1381	271782	256639
1382	271992	256455
1383	272165	256236
1384	272332	256012
1385	272527	255813
1386	272686	255582
1387	272853	255357
1388	273045	255156
1389	273227	254947
1390	273441	254766
1391	273590	254525
1392	273789	254331
1393	273955	254106
1394	274159	253916
1395	274325	253692
